	Primary English Name	Secondary English Names	Primary Hebrew Name	Secondary Hebrew Names	Birth Year 	Birth Place	Death Year	Death Place	Halachic Era	English Biography	Hebrew Biography	English Wikipedia Link	Hebrew Wikipedia Link	Jewish Encyclopedia Link	Brill Online Reference Words (Encyclopedia of Jewish in the Islamic, Encyclopedia of the Hebrew Language, Encyclopedia of Judaism)
145	Aaron Samuel Kaidanover	Maharshak	אהרן שמואל קאידנוור	"מהרש""ק"	1614.0	Vilna	1676.0	Kraków	Achronim	Aaron Samuel ben Israel Kaidanover was a 17th century Polish-Lithuanian rabbi. Among his works were responsa, annotations on the Talmudic tractates of Kedoshim, a commentary on Piskei HaRosh, and a partly kabbalistic commentary on the Chumash. He was the rabbi of Cracow at the time of his death.	"אהרן שמואל בן ישראל קידנובר היה רב פולני-ליטאי במאה ה-17. חיבוריו: ""תפארת שמואל"" - חידושים על הרא""ש; שו""ת ""אמונת שמואל""; ""ברכת הזבח"" על סדר קדשים; ""ברכת שמואל"" - דרושים על התורה."	https://en.wikipedia.org/wiki/Aaron_Samuel_Kaidanover	https://he.wikipedia.org/wiki/%D7%A9%D7%9E%D7%95%D7%90%D7%9C_%D7%A7%D7%90%D7%99%D7%99%D7%93%D7%A0%D7%95%D7%91%D7%A8	http://jewishencyclopedia.com/articles/9131-kaidanover-aaron-samuel-ben-israel	
146	Bachya ben Asher	Rabbenu Bechaye	בחיי בן אשר	רבינו בחיי	1255.0	Saragossa	1340.0	Saragossa	Rishonim	"Bahya ben Asher ibn Halawa (Rabbeinu Behaye) was a Spanish rabbi, scholar and Biblical commentator. He was a pupil of Rashba, and modeled his exegetical style on that of Ramban. He was the first to build his Torah commentary on the four principles denoted by the letters PaRDeS, ""Peshat, Remez, Drush, Sod,"" or 1) the plain text; 2) a deeper, more philosophical approach to the text; 3) a homiletical approach to the text; and 4) a mystical kabbalistic interpretation of the text. He also authored a work on ethics called ""Kad HaKemach""."	"בחיי בן אשר אבן חלואה (רבנו בחיי) היה רב, מלומד ופרשן מקרא ספרדי. היה תלמידו של רשב""א ובעל סגנון פרשני הדומה לזה של הרמב""ן. היה הראשון שבנה את פרשנותו לפי ארבעת העקרונות של ראשי התיבות פרד""ס: פשט, רמז, דרש, סוד. גם חיבר ספר מוסר הנקרא ""כד הקמח""."	https://en.wikipedia.org/wiki/Bahya_ben_Asher	https://he.wikipedia.org/wiki/%D7%91%D7%97%D7%99%D7%99_%D7%91%D7%9F_%D7%90%D7%A9%D7%A8	http://jewishencyclopedia.com/articles/2367-bahya-behai-ben-asher-ben-halawa	
147	Hasdai ben Avraham Crescas	Crescas	חסדאי בן אברהם קרשקש	קרשקש	1340.0	Barcelona, Spain	1410.0	Saragossa	Rishonim	Hasdai ben Avraham Crescas (grandson of the Talmudist Hasdai ben Judah Crescas) was a Catalonian rabbi, posek, poet, philosopher and statesman. He was a member of the royal household of King John I and Queen Violante of Aragon before being appointed crown rabbi of Saragossa in 1389. With royal support he was able to save the Jewish communities of Aragon and Roussillon during the anti-Jewish riots of 1391, as well as send thousands of Conversos to Northern Africa and Eretz Yisrael. He was perhaps the first European philosopher to argue against Aristotelian philosophy. Though only recently translated into English, his arguments had a great impact on the development of Western philosophy due to their influence on Baruch Spinoza.	חסדאי בן אברהם קרשקש (נכד של רב חסדאי בן יהודה קרשקש) היה רב, פוסק, פייטן, פילוסוף ופוליטיקאי קטלוני. היה חבר בחצר המלכות של המלך חואן הראשון ושל המלכה ויאולטה מאראגון לפני שמונה כרב המלכותי של סרגוסה ב-1389. הצליח, עם תמיכה מלכותית, להציל את הקהילות היהודיות של אראגון ורוסיון במהלך פרעות  ב-1391, ואף שלח אלפי אנוסים לצפון אפריקה ולארץ ישראל. היה אולי הפילוסוף הראשון שהביע התנגדות לפילוסופיה האריסטוטלית. הטיעונים שלו תורגמו לאחרונה לאנגלית והשפיעו רבות על הפילוסופיה המערבית עקב השפעתם על ברוך שפינוזה.	https://en.wikipedia.org/wiki/Hasdai_Crescas	https://he.wikipedia.org/wiki/%D7%97%D7%A1%D7%93%D7%90%D7%99_%D7%A7%D7%A8%D7%A9%D7%A7%D7%A9		
148	Gershom ben Yehudah	Rabbenu Gershom	גרשום בן יהודה	רבינו גרשום	960.0	Metz, France	1040.0		Rishonim	"Gershom ben Yehudah (Rabbenu Gershom), was a talmudist and halakhist. One of the first rabbis of Ashkenaz, he founded a yeshiva in Mainz, which became the first European yeshiva to rival the great academies of Babylonia. It produced the leading scholars European Jewry, including Yaakov ben Yakar, the teacher of Rashi. Around the year 1000, Rabbenu Gershom called assembly of rabbis to deal with complex, pressing issues of the day, during which he instituted various laws and bans. These include the prohibition against polygamy, the requirement of a wife to consent to divorce, the requirement to accept any Jew who had been forced to convert to Christianity and wishes to return, and the ban against opening and reading another person's mail. Asher ben Yechiel (Rosh) said about these laws that they became ""such permanent fixtures that they are treated as if handed down on Mount Sinai."" The title ""Ma'or Hagolah"" (Light of the Exile) was reverently appended to his name."	"גרשום בן יהודה (רבנו גרשום) היה איש תלמוד והלכה. מהרבנים הראשונים באשכנז, הוא קיבל התואר הכבוד ""מאור הגולה"" וייסד את ישיבת מיינץ, שנהייתה הישיבה האירופאית הראשונה שהתחרתה בלימודים בבבל. מישיבה זו יצאו תלמידי חכמים חשובים של יהדות אירופה, כולל יעקב בן יקר, רבו של רש""י. בסביבות שנת 1000, קרא לכינוס שבו הנהיג חוקים ואיסורים שונים. המפורסמים שבהם הם איסור ריבוי נשים והדרישה שאישה תסכים לגירושין. אשר בן יחיאל (הרא""ש) אמר שחוקים אלה ""נקבעו כה חזק עד כי נדמה שירדו אלינו מסיני"". "	https://en.wikipedia.org/wiki/Gershom_ben_Judah	https://he.wikipedia.org/wiki/%D7%A8%D7%91%D7%A0%D7%95_%D7%92%D7%A8%D7%A9%D7%95%D7%9D		
150	Nissim Gaon				990.0		1062.0		Rishonim	Nissim ben Jacob (Nissim Gaon) was a rabbi, Talmudic commentator and leader of the Jewish community of Kairwan, Tunisia. He learned primarily from his father, Rav Yaakov Gaon – a student of Hai Gaon – and Chushiel ben Elchanan.  After his father's death, he was chosen by the Babylonian academies of Sura and Pumbedita as his replacement as head of the academy of Kairwan. He maintained an active correspondence with Hai Gaon and with Shmuel Hanaggid, creating a channel of discourse between eastern and western schools of Jewish thought. His most famous student was Isaac Alfasi (Rif).	"נסים בן יעקב (נסים גאון) היה רב, פרשן תלמוד ומנהיג הקהילה היהודית בקיירוואן, טוניס. למד בעיקר מאביו, רב יעקב גאון - תלמיד של האי גאון - וחושיאל בן אלחנן. לאחר פטירת אביו, בחרו ישיבות סורא ופומבדיתא שימלא את מקומו כראש הישיבה בקיירוואן. התכתב נמרצות עם האי גאון ושמואל הנגיד, וכך יצר ערוץ תקשורת בין דוקטורינות מזרחיות למערביות. תלמידו המפורסם היה יצחק אלפסי (הרי""ף)."	https://en.wikipedia.org/wiki/Nissim_ben_Jacob	https://he.wikipedia.org/wiki/%D7%A8%D7%91_%D7%A0%D7%99%D7%A1%D7%99%D7%9D_%D7%92%D7%90%D7%95%D7%9F		
155	David Zvi Hoffmann		דוד צבי הופמן		1843.0	Vrbové, Slovakia	1921.0	Berlin, Germany	Achronim	David Zvi Hoffman was a German rabbi, posek and Biblical commentator. In addition to his rabbinical training under R. Moshe Schick and R. Azriel Hildesheimer, he also studied philosophy, history and Oriental languages at various universities, completing his doctoral degree in 1871. He taught under R. Shimshon Raphael Hirsch in Frankfort and succeeded R. Hildesheimer as head of the rabbinical seminary in Berlin.  He was an expert in midrash halacha and the foremost halakhic authority in Germany in his generation. He was a man of great piety, one of the original members of Moetzet Gedolei Hatorah, and, at the same time, employed a critical approach in certain areas of Jewish study. He is well known for his strident literary opposition to the Graf-Wellhausen theories of Biblical origin, while on the other hand, he quotes prominent Wissenschaft figures in his researches on Mishnah and Talmud. Some see him as a prototype for the contemporary Orthodox scholar.	דוד צבי הופמן היה רב גרמני, פוסק ופרשן לתורה. נוסף על ההסמכה שלו לרבנות תחת רבי משה שיק ורבי עזריאל הילדסהיימר, למד גם פילוסופיה, היסטוריה ושפות של המזרח הרחוק, בכמה אוניברסיטאות, וקיבל תואר דוקטורט ב-1871. לימד תחת רבי שמשון רפאל הירש בפרנקפורט וירש את מקומו של הרב הילדסהיימר כראש הסמינר הרבני בברלין. היה בקי במדרש הלכה והיה לסמכות ההלכתית הבכירה בגרמניה בדורו. היה צדיק ואחד מהחברים הראשונים של מועצת גדולי התורה, ובד בבד היה בעל גישה ביקורתית לתחומים מסוימים בלימוד. ידוע בהתנגדותו החריפה לתיאוריות גרף-ולהאוזן בדבר מקורה של התורה, ובו בעת, הוא מצטט אנשי ויזנשפט חשובים, במחקריו על המשנה והתלמוד. חלק רואים בו אב טיפוס של חכם אורתודוקסי עכשווי.	https://en.wikipedia.org/wiki/David_Zvi_Hoffmann	https://he.wikipedia.org/wiki/%D7%93%D7%95%D7%93_%D7%A6%D7%91%D7%99_%D7%94%D7%95%D7%A4%D7%9E%D7%9F	http://jewishencyclopedia.com/articles/7804-hoffmann-david	
156	Samuel ben Uri Shraga Phoebus		שמואל בן ר' אורי שרגא פייבוש	שמואל מפיורדא	1650.0	Wodzisław, Poland	1706.0	Szydłów, Poland	Achronim	"Samuel ben Uri Shraga Phoebus was a Polish rabbi and Talmudist of Woydyslaw in the second half ‎of the 17th century. In his early youth he was a pupil of Rabbi Heshel in Cracow, and on the latter's ‎death he continued his studies under R. Heshel's successor, Rabbi Leib Fischeles, whose daughter ‎he married. Samuel officiated as rabbi in Shydlow, Poland, whence he was called in September ‎‎1691 to the rabbinate of Fürth, Germany. The reason is not known; but he longed for his former ‎rabbinate and returned to his former position in 1694. Samuel wrote a clear and ‎comprehensive commentary, known as ""Beit Shmuel"", on the Shulhan Arukh Even ha'Ezer, which ‎appeared in Dyhernfurth in 1689. However, being that he did not have with whom to discuss his work while he was first writing it, he later thoroughly ‎revised it while serving as Rabbi in in Fürth, where he had the opportunity to collaborate with other scholars, and released a second edition in ‎‎1694. He wrote also several responsa and opinions, one of which is published in Ḥinnukh Bet ‎Yehudah, No. 131. His daughter married R. Aaron Hart, the chief rabbi of the United Kingdom.‎"	"רבה של פיורדא באשכנז, מחבר של ""בית שמואל"", אחד ממפרשים העקריים של השולחן ערוך אבן העזר (נדפס ביחד עם פירושו של רבי משה לימא, ""חלקת מחוקק""). הוא למד בישיבת קראקא, אצל רבי יהושע העשיל (""הרבי ר' העשיל""), ואחרי פטירת רבו המשיך את לימודיו אצל רבה של קראקא, רבי אריה לייב בן רבי זכריה מנדל, שלקח אותו כחתן לבתו. בתחילה שימש כרב בעיר שידלוב בפולין, ושם חיבר את ספרו ""בית שמואל"", שאותו סיים לכתוב (במהדורא קמא) ב-1689. אך לא היו לו חברים תלמידי חכמים בעת כתבו את הספר, ולכן לאחר מכן כשכיהן לזמן קצר כרב בקהילת פיורדא, עבר עליו ביחד עם רבנים נוספים והוציאו מחדש (מהדורא בתרא) ב-1694. בשנת 1694 שב לשידלוב."	https://en.wikipedia.org/wiki/Samuel_ben_Uri_Shraga_Phoebus	https://he.wikipedia.org/wiki/%D7%A9%D7%9E%D7%95%D7%90%D7%9C_%D7%9E%D7%A4%D7%99%D7%95%D7%A8%D7%93%D7%90		
157	Isaac Luria	Arizal			1534.0	Jerusalem	1572.0	Safed	Achronim	Isaac Luria (also known as Ari HaKadosh or Arizal), was a rabbi and mystic who taught in Egypt and Safed in the sixteenth century. He is considered the forefather of modern Kabbala, also known as Lurianic Kabbala. Born in Jerusalem, but educated in Egypt under the auspices of the David bin Abi Zimra (Radbaz) and Bezalel Ashkenazi, Luria became one of the Radbaz's leading student. He lived a life of seclusion on an island in the Nile but was eventually forced to turn to commerce. It was during this period of seclusion that he developed his famous system of kabbalistic ideas. After moving to Safed, Luria taught his system to many followers, who copied down and interpreted his ideas. Shrouded in secrecy, many legends developed about his life, which were only furthered after his death at a young age. Luria’s students mostly memorized his teachings and put them in writing. Among the transmitters of Luria’s kabbalistic ideas were Eleazer Azikri, Israel Sarug, Elijah de Vidas, Abraham Galante, Moses Jonah, Menahem Azariah Fano, Joseph ibn Ṭabul and Joseph Solomon Delmedigo. None of them, however, was as instrumental in disseminating Luria’s teachings as his closest disciple, Ḥayyim Viṭal. The Lurianic version of Kabbala, far as it was from Luria’s original teaching, became the mainstream form of Kabbala. Its popularity in the Jewish world, even in circles that had never before practiced Kabbala, contributed to the upsurge of messianism that set the ground for the Sabbatean movement and Shabbetay Ṣevi.	"יצחק לוריא (הידוע גם בכינוי האר""י) היה רב ומקובל שלימד במצרים ובצפת במאה ה-16. נחשב אבי הקבלה המודרנית, הידועה גם כקבלת האר""י. האר""י נולד בירושלים אך התחנך במצרים תחת חסותם של הרדב""ז (דוד בן אבי זמרא) ובצלאל אשכנזי, ונהיה תלמידו המובהק של הרדב""ז. חי את חייו בהתבודדות באי על שפת הנילוס אבל לאחר זמן נאלץ לשוב לעסוק במסחר. במהלך תקופת ההתבודדות הזו פיתח את השיטה הקבלית המפורסמת שלו.  לאחר שעבר לצפת, לימד את השיטה שלו לרבים, ואלה רשמו את הרעיונות ופירשו אותם. אגדות רבות צמחו על אודות חייו, והם הלכו והתעצמו לאחר שהלך לעולמו בטרם עת. תלמידיו של לוריא השתדלו לשנן בעל פה את רעיונותיו והעלו אותם על הכתב. הידועים שבהם הם אליעזר אזיקרי, ישראל סרוג, אליהו דה וידאס, אברהם גלנטה, משה יונה, מנחם עזריה פאנו, יוסף אבן טבול ויוסף שלמה דלמדיגו. אולם, האיש שהיווה את עמוד התווך בהעברת הגיגיו של האר""י הלאה היה תלמידו הקרוב ביותר, חיים ויטאל. הגרסה הלוריאנית של הקבלה הייתה אמנם רחוקה מהשיטה המקורית שלו אך היא מהווה את השיטה המקובלת של הקבלה. הפופולריות שלה בעולם היהודי, כולל בחוגים שלפני כן לא היו קשורים לקבלה, תרמה לעלייה של תנועת המשיחיות, שהייתה הקרקע הפורייה לצמיחתו של שבתאי צבי ושל תנועתו."	https://en.wikipedia.org/wiki/Isaac_Luria	https://he.wikipedia.org/wiki/%D7%94%D7%90%D7%A8%22%D7%99		
158	David ben Solomon ibn (Abi) Zimra	Radbaz	דוד בן שלמה אבן אבי זמרא	רדבז	1479.0	Middle-Age Spain	1573.0	Safed	Achronim	David ben Solomon ibn Zimra (Radbaz) was a Spanish born Rabbi whose adult life was spent in Fes, Israel and Cairo. He was appointed Hakham Bashi or Chief Rabbi of Egypt, a title he held for forty years. Cairene Jewry at the time encompassed an indigenous Jewish community and several communities of Jews from other localities, each with its own traditions. He used his authority to unify many of the disparate practices. Late he moved to Jerusalem where he was appointed judge of the community before finally settling in Safed where he died aged 93 or 94. He was independently wealthy and strongly objected to rabbis taking even a minimal salary. He therefore tried to use his position to affect a more equitable distribution of the tax burden whilst he was judge in Jerusalem. A prolific writer he wrote close to 3,000 responsa which a known both for their brevity and careful consideration of the impact on the lives of the people it affected. His two most noted students were Bezalel Ashkenazi and Isaac Luria. He also composed liturgical poetry of which his Keter Malkhut (The Royal Crown) has been incorporated into the Heidenheim edition of the prayer book for Yom Kippur.	"דוד בן שלמה אבן זמרא (רדב""ז) נולד בספרד וכיהן כרב בפס, בישראל ובקהיר. מונה כ""חכם באשי"" וכרב הראשי של מצרים וכיהן בתפקיד זה ארבעים שנה. יהדות קהיר הכילה בתוכה קהילה יהודית מקומית וכן קהילות יהודיות ממקומות אחרים, כל אחת עם מנהגיה. השתמש בסמכותו כדי לאחד חלק מההנהגות המפורדות. מאוחר יותר עבר לירושלים, שם מונה לדיין הקהילה, ומאוחר יותר התיישב בצפת ונפטר בגיל 93 או 94. היה בעל נכסים והתנגד לרבנים שגבו משכורת, אפילו מינימלית. לכן ניסה להשתמש במעמדו כדיין בירושלים כדי להביא לחלוקה הוגנת יותר של נטל המסים. כתב ברהיטות כמעט 3,000 שו""ת, שידועים בקיצור שלהם ובזהירות שאותה נקט בניסוח, ביודעו את גודל ההשפעה שלהם על קהילתו. תלמידיו המובהקים היו בצלאל אשכנזי ויצחק לוריא. כמו כן חיבר פיוטים, מתוכם ""כתר מלכות"" שלו כבר שולב במהדורת היידנהיים של ספר התפילות ליום הכיפורים."	https://en.wikipedia.org/wiki/David_ben_Solomon_ibn_Abi_Zimra	https://he.wikipedia.org/wiki/%D7%A8%D7%93%D7%91%22%D7%96	http://jewishencyclopedia.com/articles/4981-david-ben-solomon-ibn-abi-zimra	
159	Meir ben Jacob Ha-Kohen Schiff	Maharam Shiff	מאיר הכהן שיף	מהרם שיף	1608.0	Frankfurt am Main, Germany	1644.0	Prague	Achronim	Meir ben Jacob HaKohen Schiff was a German rabbi and Talmudist. His father was Jacob Schiff. At the age of seventeen he was appointed Rabbi in Fulda where he composed his commentaries on the entire Talmud. He was a severe critic of pilpul and attacked many of his contemporaries including Solomon Lura, Meir of Lublin, Samuel Edels as well as early authorities like Rashi, Isaac bar Sheshet and Mordekhai. Schiff also wrote sermon on the Torah. Much of his writings are lost including notes on the four Ṭurim, as well as his cabalistic works and Talmudic decisions. 	"מאיר בן יעקב הכהן שיף היה רב ואיש תלמוד גרמני. אביו היה יעקב שיף. בהיותו בן שבע עשרה מונה לתפקיד רבה של פולדה, שם חיבר את פירושיו לתלמוד כולו. התנגד לשיטת הפלפול ותקף רבים מבני זמנו, כולל שלמה לורא, מאיר מלובלין, שמואל אדלס, וכן סמכויות קודמות יותר כגון רש""י, יצחק בר ששת ומרדכי. שיף אף כתב דרשות על התורה. רבים מכתביו אבדו, כולל הערות על הארבעה טורים, חיבורים קבליים ופסקים תלמודיים."	https://en.wikipedia.org/wiki/Meir_Shiff	https://he.wikipedia.org/wiki/%D7%9E%D7%90%D7%99%D7%A8_%D7%A9%D7%99%D7%A3	http://www.jewishencyclopedia.com/articles/13266-schiff	
160	Nathaniel Weil	Korban Nethanel	נתנאל וייל	קרבן נתנאל	1687.0	Stühlingen, Germany	1769.0	Rastatt, Germany	Achronim	Nathaniel Weil was a German rabbi and Talmudist born to Rabbi Naphtali Zvi Hirsch Weil. A child protégé he was quickly permitted to attend the lectures of R. Abraham Broda for advanced students. He was appointed Rabbi in Metz but after almost a decade returned to Prague where he taught Talmud and was the assistant rabbi. After being expelled from Prague, he was appointed to the rabbinate of Mühringen where he started his commentary on the Rosh before moving to Karlsruhe and completing it. His remaining writings were published posthumously.	"נתנאל וייל היה רב ואיש תלמוד גרמני, ובנו של הרב נפתלי צבי הירש וייל. כילד פלא, קיבל רשות להשתתף בשיעורים של הרב אברהם ברודא לתלמידים מתקדמים. מונה לרבה של מץ אך לאחר כמעט עשור חזר לפראג, שם לימד תלמוד והיה עוזרו של הרב. לאחר שגורש מפראג, מונה לרבה של מורינגן, שם החל לחבר את פירושו לרא""ש, ולאחר מכן עבר לקרלסרו, שם סיים את מלאכת הכתיבה. שאר כתביו יצאו לאור לאחר מותו.  "	https://en.wikipedia.org/wiki/Nathaniel_Weil	https://he.wikipedia.org/wiki/%D7%A0%D7%AA%D7%A0%D7%90%D7%9C_%D7%95%D7%99%D7%99%D7%9C	http://jewishencyclopedia.com/articles/14829-weil-nethaneel	
161	Avraham Bornsztain	Avnei Nezer	אברהם בורנשטיין	 אבני נזר	1838.0	Bendin, Poland	1910.0	Sochaczew, Poland	Achronim	"Avraham Bornsztain was a leading posek in late-nineteenth-century Europe and founder and first Rebbe of the Sochatchover Hasidic dynasty. He is known as the Avnei Nezer (""Stones of the Crown"") after the title of his posthumously-published set of Torah responsa, which is widely acknowledged as a halakhic classic.  A child prodigy, he was a close talmid of the Kotzker Rebbe, eventually becoming his son-in-law. After the Kotzker Rebbe's death, Bornsztain became a Hasid of his uncle, Rabbi Yitzchak Meir Alter, the Chidushei HaRim of Ger. Following the latter's death in 1866, he became a hasid of Rabbi Chanoch Henoch of Alexander.  Bornsztain’s main interest was his learning, and his responsa cover all four sections of Shulhan Arukh, published posthumously as ""Sheilot Uteshuvot Avnei Nezer"".  His other work is ""Eglei Tal"" on the 39 Melakhoth of Shabbat. Other works on the Torah have been collected and printed. His only son, Shmuel, author of Shem MiShmuel, succeeded him as Rebbe."	"אברהם בורנשטיין היה פוסק חשוב באירופה של המאה ה-19 ומייסדה ורבה הראשון של שושלת חסידות סוכטשוב. ידוע בכינוי ""אבני הנזר"" בעקבות שמה של סדרת השו""ת שיצאה לאור לאחר פטירתו, שנחשבת לקלסיקה הלכתית. בנו, שמואל, מחבר הספר ""שם משמואל"", ירש את מקומו כאדמו""ר החסידות. אברהם בורנשטיין היה ילד פלא והיה תלמידו המובהק של הרבי מקוצק, ולימים נהיה חתנו. לאחר פטירתו של הרבי מקוצק, נהיה בורנשטיין חסידו של דודו, הרב יצחק מאיר אלטר, חידושי הרי""ם של חסידות גור. לאחר פטירתו של האחרון ב-1866, נהיה חסידו של הרב חנוך היינקה מאלכסנדר. עיקר עניינו של בורנשטיין היה לימוד תורה, והשו""ת שלו מקיף את כל ארבעת חלקי השולחן ערוך. השו""ת יצא לאור לאחר פטירתו והוא כונה ""שאלות ותשובות אבני נזר"". חיבורו השני הוא ""אגלי טל"" שעוסק בל""ט אבות מלאכה. חיבורים נוספים על התורה נאספו והודפסו. "	https://en.wikipedia.org/wiki/Avrohom_Bornsztain	https://he.wikipedia.org/wiki/%D7%90%D7%91%D7%A8%D7%94%D7%9D_%D7%91%D7%95%D7%A8%D7%A0%D7%A9%D7%98%D7%99%D7%99%D7%9F		
162	Yehezkel Landau	Noda Biyhuda	יחזקאל לנדא	 נודע ביהודה	1713.0	Opatow, Poland	1793.0	Prague	Achronim	"Yehezkel ben Yehuda Landau was a senior figure in Prague Jewry. He is best known for the his responsa Noda BiYehudah (נודע ביהודה) and for his attempt to mediate between the disruptive fight between Jacob Emden and Jonathan Eybeschütz. Born in Poland Landau attended yeshivot in Ludmir and Brody where he was appointed Dayan. Later he moved to Prague where he was appointed chief rabbi and established a Yeshivah. Landau was highly esteemed not just by the community, but also by others; and he stood in high favour in government circles. Thus, in addition to his rabbinical tasks, he was able to intercede with the government on various occasions when anti-Semitic measures had been introduced. Though not opposed to secular knowledge, he objected to ""that culture which came from Berlin"", in particular Moses Mendelssohn's translation of the Pentateuch.  He authored responsa Noda Biyhuda (named in honor of his father, Yehuda), and a commentary on Talmud entitled ""Tzion L'Nefesh Chaya"" (named in honor of his mother, Chaya), or ""Tzelach"" for short."	"יחזקאל בן יהודה לנדאו הינו דמות חשובה ביהדות פראג. ידוע בזכות חיבורו ""נודע ביהודה"" ובזכות ניסיונו לגשר בין ר' יעקב עמדין לבין ר'  יונתן אייבשיץ, שביניהם התקיים ויכוח סוער. נולד בפולין ולמד בישיבות לודמיר וברודי, שם התמנה לדיין. מאוחר יותר עבר לפראג, שם התמנה לרב הראשי וייסד ישיבה. רבים כיבדו את לנדאו, לא רק קהילתו, והיה נערץ גם בקרב חוגים ממשלתיים. לכן, נוסף על תפקידיו הרבניים, התייצב בקרב אנשי ממשלה פעמים רבות כאשר צווים אנטישמיים יצאו. אף שלא התנגד לחינוך כללי, לא עודד את ""אותה תרבות שיצאה מברלין"", ובמיוחד יצא נגד תרגומו של משה מנדלסון לחמשת חומשי תורה.  הוא חיבר שו""ת ""נודע ביהודה"" (לכבוד אביו, שהיה שמו יהודה), וחידושים על ש""ס שקרא ""ציון לנפש חיה"" (לכבוד אמו, חיה), הנקרא בקיצור ""צל""ח"". "	https://en.wikipedia.org/wiki/Yechezkel_Landau	https://he.wikipedia.org/wiki/%D7%99%D7%97%D7%96%D7%A7%D7%90%D7%9C_%D7%9C%D7%A0%D7%93%D7%90	http://jewishencyclopedia.com/articles/9608-landau	
163	Meir Eisenstadt	Meir ben Izsak Eisenstadt, Meir Ash	מאיר בן יצחק איזנשטט	"מהר""ם א""ש"	1670.0	Poznań	1744.0	Eisenstadt, Austria	Achronim	"Meir ben Isaac Eisenstadt was an authority on halakha who was consulted by rabbis from Turkey, Germany and Italy. He served as dayan in Posen and rabbi in Szydłowiec, Poland before moving to Worms where he headed the yeshiva. When Worms was captured by the French in 1701 he moved to Prostějov (German: Prossnitz) as rabbi. He briefly returned to Szydłowiec before settling in Eisenstadt as rabbi of the Seven Communities. Eisenstadt greatly influenced the nature of the community and his yeshiva attracted students from far and near. His best known student is probably Jonathan Eybeschütz. His major works are; ""Or ha-Ganuz"", novellae on marriage law (Ketubot) and notes on Yoreh De'ah; ""Panim Me'irot"", responsa and novellae on various Talmudic treatises; ""Kotnot Or"", homiletic commentary on the Pentateuch and the Five Scrolls, (published, with the ""Or Hadash"" of his grandson, Eliezer Kalir, under the title ""Meore Esh"" the latter word being an abbreviation of ""Eisenstadt"")."	"מאיר בן יצחק אייזנשטט היווה סמכות הלכתית, וגדולים מטורקיה, מגרמניה ומאיטליה הרבו להתייעץ אתו. שימש דיין בפוזן ורב בשידלובייץ, פולין, לפני שעבר לוורמס ונהיה ראש הישיבה שם. כשהצרפתים כבשו את וורמס ב-1701 עבר לפרוסטיוב ושימש כרב. חזר למשך תקופה קצרה לשידלובייץ לפני שהתיישב באייזנשטט כרבן של שבע הקהילות. הרב אייזנשטט השפיע על רוח הקהילה, והישיבה שלו משכה תלמידים מקרוב ומרחוק. תלמידו הידוע ביותר הוא כנראה יונתן אייבשוץ. חיבוריו המפורסמים הם: ""אור הגנוז"", חידושים על הלכות כתובות והערות על יורה דעה; ""פנים מאירות"", שו""ת וחידושים על חיבורים תלמודיים; ו""כתנות אור"", דרשות על חמשת חומשי תורה וחמש המגילות (שיצא לאור יחד עם ה""אור חדש"" של נכדו, אליעזר קליר, תחת הכותרת ""מאורי אש"", כאשר אש מהווה קיצור של השם אייזנשטט)."				
165	Yaakov Ettlinger	Aruch LaNer	יעקב אטלינגר	ערוך לנר	1798.0	Karlsruhe	1871.0	Altona	Achronim	Jacob Ettlinger (Hebrew: ‎יעקב עטלינגר‎‎) was a German rabbi and author, and one of the ‎leaders of Orthodox Judaism. He is sometimes referred to as the Aruch la-Ner (‎ערוך לנר‎) because ‎of his noteworthy Talmudic commentary by that same name. He was born at Karlsruhe, Baden, and died at ‎Altona, Prussia. He studied with his father Aaron and Abraham Bing, where he also attended the ‎university. He was among the earliest German rabbis who possessed academic training. He ‎became one of the most prominent representatives of German Orthodoxy, functioning as district ‎rabbi in various communities in Germany. ‎His yeshiva was attended by a great many students ‎preparing for the ministry, and many of them became leaders of Orthodoxy. ‎	"יעקב עטלינגר היה רב וסופר גרמני, ואחד ממנהיגי היהדות האורתודוקסית. הוא מכונה גם ""ערוך לנר"" בעקבות חיבורו על התלוד בעל אותו השם. נולד בקרלסרוהה, באדן, ונפטר באלטונה, פרוסיה. למד עם אביו אהרן ועם אברהם בינג, ושם גם למד באוניברסיטה. היה מראשוני רבני גרמניה שהיה בעל תואר אקדמי. נהיה אחד מנציגי האורתודוקסיה הגרמנית החשובים ושימש כרב מחוזי בקהילות שונות בגרמניה. בישיבתו למדו תלמידים רבים לרבנות, ורבים מהם נהיו מנהיגים של היהדות האורתודוקסית."	https://en.wikipedia.org/wiki/Jacob_Ettlinger	https://he.wikipedia.org/wiki/%D7%99%D7%A2%D7%A7%D7%91_%D7%90%D7%98%D7%9C%D7%99%D7%A0%D7%92%D7%A8		
